unix_timestamp,yaw,pitch,roll
1790228032.7815435,176.19,0.55,0.29
1790228032.9917243,176.2,0.56,0.3
1790228033.19779,176.2,0.56,0.31
1790228033.4196239,176.21,0.57,0.31
1790228033.6399958,176.21,0.56,0.31
1790228033.8188488,176.25,0.55,0.23
1790228034.0249546,176.24,0.54,0.29
1790228034.272929,176.16,0.54,0.3
1790228034.4442785,176.12,0.52,0.27
1790228034.6728919,176.0,0.53,0.31
1790228034.9246569,176.07,0.54,0.28
1790228035.1123877,176.0,0.51,0.3
1790228035.302912,176.02,0.49,0.23
1790228035.500129,176.03,0.53,0.23
1790228035.7188246,176.2,0.49,0.3
1790228035.944434,176.21,0.47,0.31
